Sample,Number,Dental Age,Predicted Age,Age,Fem_Side,Fem_M_or_E,Fem_Fusion,Fem_Bio_L,Fem_Midshaft_AP_D,Fem_Midshaft_ML_D,Fem_Max_L,Fem_Bicondylar_W,Fem_Head_AP_D,Fem_Head_AP_D_E,Tib_Side,Tib_Bio_L,Tib_M_or_E,Tib_Fusion,Tib_Midshaft_AP_D,Tib_Midshaft_ML_D,Tib_Max_L,Tib_Max_L_E,Tib_Bicond_W,Tib_Bicond_W_E,Tib_Dist_Met_ML_D,Tib_Dist_Met_ML_D_E,Tib_Dist_Met_AP_D,Tib_Dist_Met_AP_D_E,Hum_M_or_E,R_Hum_L,R_Hum_Midshaft_AP_D,R_Hum_Midshaft_ML_D,L_Hum_L,L_Hum_AP_Midshaft_D,L_Hum_ML_Midshaft_D,Hum_Fusion,R_Hum_Max_L,L_Hum_Max_L,Hum_Head_M_or_E,R_Max_Hum_Head_D,L_Max_Hum_Head_D,Hum_Dist_M_or_E,R_Hum_Dist_Met_ML_D,L_Hum_Dist_Met_ML_D,Rad_M_or_E,Rad_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Hope,328,2.39,.,2.39,L,M,N,138,8.4,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistihalj,9044,2.49,,2.49,R,M,N,167,12.3,13.1,177.0,38.7,21.2,,R,144,M,N,11.6,11.7,146.0,,33.4,,19.7,,20.1,,M,137,10.8,10.7,137,11.4,10.5,N,137.0,,M,24.0,,M,29.7,,M,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti S,40.0,2.49,.,2.49,L,M,N,163,11.3,12.1,169,43.0,19.5,,L,139,M,N,11.3,10.5,141.0,,33.3,,21.8,,19.8,,M,156,10.4,9.4,126,10.6,9.5,N,126.0,126.0,M,22.8,22.7,M,29.7,30.2,M,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Knoll,339,2.5,.,2.5,L,M,N,201,14.8,14.0,211.0,45.5,22.1,,R,178,M,N,17.0,13.0,179.0,,,,24.0,,23.1,,M,157,11.3,10.2,,,,N,158.0,,M,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dart,1327,2.5,,2.5,R,M,N,148,12.1,13.4,166.0,38.5,21.0,,L,128,M,N,11.9,11.3,129.5,,30.2,,20.7,,19.8,,M,121,9.8,10.4,121,10.1,10.4,N,122.0,,M,23.3,,,28.8,,M,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Lopes,466,2.50,,2.50,,,,,,,,,,,L,125,M,N,11.6,10.9,127.0,,32.7,,21.9,,19.5,,M,124,10.0,10.3,124,10.4,10.6,N,124.0,124.0,M,21.6,22.7,,,,M,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistihalj,9223,2.51,,2.51,R,M,N,170,12.7,13.4,179,37.3,19.5,,R,142,M,N,12.2,11.6,145.0,,32.4,,21.4,,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Hope,351,2.51,.,2.51,R,M,N,161,12.7,13.8,170.0,39.5,21.4,,L,127,M,N,12.2,10.6,128.0,,33.4,,,,,,M,,,,128,12.2,11.0,N,128.0,,M,24.2,,,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Knoll,78,2.54,.,2.54,R,M,N,172,10.9,11.1,176,,18.4,,,,,,,,,,,,,,,,M,133,9.8,9.2,133,9.6,9.4,N,133.0,,M,23.2,,M,28.7,,M,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Hope,176.2,,2.55,2.55,R,M,N,171,14.0,13.4,180.0,,20.4,,R,141,M,N,13.4,12.2,142.0,,35.3,,21.4,,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Hope,448,,2.58,2.58,L,M,N,171,9.8,10.9,181.0,33.9,,,,,,,,,,,,,,,,,M,136,9.7,9.2,,,,,138.0,,M,22.5,,,26.3,,M,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dart,1469,2.6,,2.6,L,M,N,166,12.5,13.1,172.0,37.0,20.4,,L,139.5,M,N,12.5,11.2,139.0,,31.2,,21.3,,20.9,,M,134,10.7,9.9,134,10.4,9.9,N,134.0,,M,23.6,,,29.9,,M,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti R,157.0,2.60,.,2.60,R,M,N,174,12.0,11.4,183,41.6,18.5,,R,150,M,N,12.2,10.5,152.0,,33.9,,21.2,,19.6,,M,140,10.1,9.6,138,10.4,9.6,N,140.0,139.0,M,23.2,23.0,M,28.4,28.5,M,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Hope,279,,2.61,2.61,L,M,N,173,11.6,13.0,182.0,34.4,,,,,,,,,,,,,,,,,M,133,10.8,11.0,133,11.0,11.3,N,136.0,,,,,,29.3,,M,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Knoll,211,2.67,.,2.67,R,M,N,149,9.5,11.8,154.0,34.9,18.0,,R,125,M,N,10.6,9.9,128.0,,28.6,,16.4,,14.8,,M,123,10.9,10.2,122,10.9,9.7,N,122.7,121.8,M,22.8,23.6,M,28.8,,M,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Knoll,286,2.68,.,2.68,R,M,N,150,10.6,11.4,160.0,37.1,18.0,,R,130,M,N,10.0,9.8,131.0,,30.4,,19.1,,17.4,,M,123,10.1,9.5,123,10.0,9.9,N,122.1,122.2,M,22.9,22.7,M,27.8,,M,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dart,712,2.7,,2.7,R,M,N,156,12.2,11.9,163.5,38.0,18.7,,L,137.5,M,N,12.5,9.8,138.0,,29.8,,19.0,,19.9,,M,125,10.6,9.1,124.5,10.9,9.2,N,125.5,,M,21.7,,,28.3,,M,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,7627,,2.74,2.74,R,M,N,168,12.3,13.2,177.0,,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,8034,,2.77,2.77,L,M,N,170,11.9,11.6,181,45.4,20.6,,L,148,M,N,12.2,10.3,150.0,,37.4,,24.7,,20.0,,M,138,9.4,9.6,,,,N,138.0,,M,24.8,,M,29.8,,M,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti R,152.0,2.85,.,2.85,R,M,N,166,10.7,11.7,170,41.0,18.4,,R,146,M,N,10.9,10.8,148.0,,34.7,,20.4,,19.3,,M,129,9.1,9.0,128,9.2,9.1,N,130.0,129.0,M,21.2,22.4,M,28.3,27.9,M,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Knoll,304,3,.,3,R,M,N,168,12.9,12.8,177.0,38.4,19.1,,L,151,M,N,11.4,10.8,152.0,,31.8,,21.1,,18.2,,M,135,10.3,9.9,135,10.0,9.4,N,134.9,134.4,M,24.1,,M,27.9,,M,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Knoll,48,3.03,.,3.03,L,M,N,158,10.7,10.4,165,34.9,16.9,,L,135,M,N,9.5,9.8,137.0,,30.1,,17.4,,15.6,,M,,,,116,8.7,8.8,N,117.0,,M,20.8,,,,,M,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistihalj,8962,3.13,,3.13,L,M,N,176,13.1,14.6,187.0,43.2,20.8,,R,153,M,N,13.3,12.2,153.0,,35.2,,,,,,M,144,10.7,11.7,142,10.9,10.9,N,142.0,,M,25.3,,M,30.0,,M,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Knoll,503,3.15,.,3.15,L,M,N,170,10.5,11.5,176.0,40.1,17.5,,L,148,M,N,12.0,10.6,150.0,,32.4,,18.8,,15.9,,M,134,8.8,9.0,134,9.3,8.8,N,133.9,135.6,M,24.2,25.0,M,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Hope,244,3.2,.,3.2,R,M,N,176,13.9,13.9,186.0,42.8,20.3,,R,149,M,N,12.8,12.1,152.0,,36.9,,21.4,,18.7,,M,139,12.7,11.7,,,,,140.0,,M,25.8,,,28.8,,M,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti S,22.0,3.22,.,3.22,R,M,N,175,11.6,11.5,189,43.1,20.4,,R,152,M,N,10.8,10.1,153.0,,34.3,,23.0,,20.0,,M,139,9.1,8.3,138,9.2,8.3,N,139.0,138.0,M,22.4,22.9,M,28.8,29.1,M,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Hope,418,3.24,.,3.24,L,M,N,177,12.4,13.2,187.0,43.1,23.2,,L,153,M,N,12.2,11.3,154.0,,32.2,,20.2,,20.7,,M,138,11.4,10.6,139,11.8,9.8,N,140.0,,M,26.1,,,31.0,,M,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,9804,3.26,.,3.26,R,M,N,159,10.7,11.6,168.0,37.5,18.3,,,,,,,,,,,,,,,,M,124,11.1,10.0,,,,N,124.0,,M,23.2,,M,28.0,,M,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Knoll,515,3.43,.,3.43,L,M,N,200,13.2,13.6,209.0,46.5,22.9,,L,174,M,N,15.9,11.7,177.0,,38.4,,23.3,,20.3,,M,151,9.7,10.0,148,9.6,9.1,N,151.1,147.0,M,23.6,,M,31.9,,M,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistihalj,9003,3.45,,3.45,L,M,N,197,13.3,14.1,208,43.6,22.0,,,,,,,,,,,,,,,,M,156,10.9,10.2,156,10.8,9.9,N,157.0,,M,24.5,,M,31.6,,M,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Lopes,392,3.47,,3.47,R,M,N,178,11.4,13.5,182,41.2,19.7,,R,145,M,N,12.7,12.4,147.0,,65.1,,21.4,,20.3,,M,142,11.0,9.7,142,10.1,9.6,N,142.0,142.0,M,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti R,133.0,3.54,.,3.54,R,M,N,172,11.8,12.0,182,40.9,18.1,,R,138,M,N,10.4,11.3,150.0,,34.5,,19.8,,20.7,,M,135,9.6,9.3,134,9.2,9.5,N,136.0,135.0,M,21.4,21.4,M,26.9,26.7,M,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistihalj,9131,3.58,,3.58,R,M,N,210,16.1,14.7,224.0,51.3,25.9,,R,176,M,N,14.1,13.2,179.0,,39.9,,24.0,,25.7,,M,163,12.2,12.7,163,11.7,12.3,N,163.0,,M,28.8,,M,32.8,,M,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Lopes,1390,3.58,,3.58,L,M,N,207,14.8,14.4,222,43.7,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti R,100.0,3.60,.,3.60,L,M,N,175,13.3,12.5,186,43.6,20.2,,R,157,M,N,13.1,11.5,161.0,,36.1,,21.5,,21.2,,M,136,9.8,10.1,134,10.0,10.0,N,136.0,134.0,M,22.7,21.5,M,28.5,28.1,M,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti R,101.0,3.60,.,3.60,L,M,N,176,10.3,10.4,183,37.6,18.5,,R,155,M,N,10.6,8.1,155.0,,31.6,,19.5,,19.1,,M,136,8.2,8.1,136,8.4,7.7,N,136.0,136.0,M,21.7,21.5,M,26.3,26.3,M,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti S,39.0,3.65,.,3.65,R,M,N,200,13.1,12.9,212,43.9,21.4,,R,171,M,N,13.3,10.9,173.0,,36.0,,23.1,,22.5,,M,153,9.4,8.6,151,9.1,8.4,N,153.0,152.0,M,23.0,22.8,M,30.3,30.5,M,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,9794,3.78,.,3.78,L,M,N,134,11.5,11.8,139.0,37,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dart,854,3.8,.,3.8,R,M,N,199,13.1,12.8,212.0,43.4,20.6,,R,174,M,N,15.4,12.0,175.0,,37.7,,23.4,,21.1,,M,149,9.9,11.2,,,,N,150.0,,M,24.6,,,28.4,,M,111.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,9123,,3.81,3.81,,,,,,,,,,,R,153,M,N,12.9,11.3,157.0,,38.4,,24.4,,21.3,,M,140,10.4,8.7,,,,N,141.0,,M,25.3,,M,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti S,38.0,3.83,.,3.83,R,M,N,196,14.3,12.9,209,45.7,21.4,,,,,,,,,,,,,,,,M,153,10.0,10.3,152,10.1,10.1,N,153.0,152.0,M,23.6,23.7,M,30.6,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti R,49.0,3.88,.,3.88,L,M,N,193,12.7,11.8,202,47.6,21.4,,R,170,M,N,12.8,11.4,174.0,,40.4,,24.1,,22.0,,M,150,10.3,9.4,147,10.1,9.4,N,150.0,148.0,M,24.8,25.2,M,32.4,32.4,M,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Lopes,371,3.88,,3.88,L,M,N,193,12.1,13.3,207,45.8,22.0,,R,165,M,N,11.0,10.9,166.0,,37.6,,21.4,,19.3,,M,,,,153,10.7,10.4,N,,154.0,M,,26.0,M,,29.2,M,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,7611,3.9,.,3.9,R,M,N,177,11.2,11.6,189.0,43.8,22.3,,L,154,M,N,10.4,9.6,156.0,,38.7,,23.0,,18.1,,M,146,9.6,9.0,,,,N,147.0,,M,25.6,,M,29.5,,M,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti R,117.0,4.00,.,4.00,L,M,N,163,11.5,12.2,170,42.6,18.1,,R,144,M,N,11.5,11.4,146.0,,34.5,,21.7,,20.0,,M,130,10.0,9.3,129,9.8,9.1,N,130.0,129.0,M,23.3,22.7,M,27.2,26.7,M,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Lopes,522,4.03,,4.03,L,M,N,200,14.8,13.6,220,50.7,25.6,,L,172,M,N,14.0,12.2,175.0,,39.7,,24.4,,23.7,,M,162,10.7,10.6,,,,N,163.0,,M,27.6,,,,,M,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,11176,4.04,.,4.04,L,M,N,194,12.9,12.9,205.0,41.5,20.9,,L,163,M,N,13.9,11.4,165.0,,37.7,,23.9,,19.9,,M,148,10.3,9.4,145,10.5,9.3,N,147.0,,M,24.7,,M,29.4,,M,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,6724,4.08,.,4.08,L,M,N,200,14.2,14.4,209.0,51.4,23.8,,R,180,M,N,17.7,13.3,178.0,,42.4,,26.8,,20.2,,M,152,11.5,11.1,151,11.6,11.0,N,152.0,,M,26.7,,M,31.5,,M,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dart,3019,4.1,.,4.1,R,M,N,222,13.6,13.6,236.5,49.1,24.6,,L,202,M,N,14.3,12.6,205.0,,40.6,,26.5,,25.0,,M,162,10.4,10.4,,,,N,163.0,,M,26.7,,,32.4,,M,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti R,98.0,4.10,.,4.10,L,M,N,166,10.7,10.8,175,42.2,18.6,,R,148,M,N,10.1,10.2,150.0,,34.9,,21.1,,19.5,,M,129,8.4,8.2,129,7.9,8.2,N,129.0,129.0,M,20.7,20.6,M,27.3,26.7,M,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Knoll,276,4.15,.,4.15,,,,,,,,,,,L,132,M,N,12.5,11.3,134.0,,30.3,,19.5,,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Lopes,1399,4.17,,4.17,L,M,N,185,13.8,15.2,197,47.6,22.6,,L,152,M,N,13.1,12.3,153.0,,37.9,,22.5,,22.9,,M,,,,146.0,11.4,12.7,N,,147.0,M,,26.7,M,,33.2,M,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti S,42.2,4.23,.,4.23,L,M,N,186,11.7,12.0,198,44.6,20.0,,R,170,M,N,13.0,11.1,174.0,,39.0,,23.6,,21.4,,M,139,10.1,8.9,139,10.0,8.9,N,140.0,140.0,M,22.3,22.2,M,28.8,29.7,M,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,6784,,4.24,4.24,R,M,N,195,13.6,12.9,204.0,43.3,21.8,,R,168,M,N,12.4,11.4,170.0,,38.1,,21.9,,20.0,,M,,,,145,10.4,9.7,N,146.0,,M,22.5,,M,28.4,,M,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dart,660,,4.24,4.24,L,M,N,187,13.9,13.2,200.0,47.5,22.1,,L,166,M,N,13.7,11.5,166.0,,38.6,,25.4,,22.7,,M,148,11.1,10.7,148.5,11.4,11.1,N,145.5,,M,25.6,,,29.5,,M,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Lopes,338,4.25,,4.25,R,M,N,185,11.5,11.6,195,39.8,20.5,,L,161,M,N,12.2,10.5,163.0,,32.7,,20.2,,19.3,,M,149,10.2,9.1,149,9.9,8.7,N,150.0,150.0,M,23.6,22.9,M,27.8,28.2,M,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
